user_name	tweet	date	label	day_period
Matheus17221572	outback de ontem fez efeito	2022-06-11 13:45:53+00:00	negativo	afternoon
hatfeltt	ia almoçar uns restos de outback e esqueci na geladeira pq acordei atrasado	2022-04-26 16:03:14+00:00	negativo	afternoon
marcus_pummer	a anos não com pro nada dessas marcas: perdigão, sadia, seara, ambev (todo tipo de bebida), johnson &amp johnson, elma chips, nescau, boticário, natura, avon, havaianas, fran's café, mc donald's, subway, burguer king, pizza hut, coca-cola, giraffa's, habbib's e outback não banco	2022-02-08 22:44:56+00:00	negativo	night
george_turetto	outback tb é bolsonarista??? pq já risquei da minha lista o bambu, o madeiro	2021-09-03 10:11:15+00:00	negativo	morning
Marcuxx_	completando: bambu, outback e outras são fastfood parabéns, vc paga caro pra comer no mc com molho carregado no açúcar	2021-09-02 20:07:16+00:00	negativo	night
cindyc05212945	setembro amarelo pra vcs o mês da galera do lacre fazer bullying com funcionários do coco bambu, outback e madero a maioria nunca comeu nesses lugares a inveja é uma	2021-09-02 12:42:18+00:00	negativo	afternoon
tatomaz_	vamos comer um outback pra comemorar, pq aqui tbm deu	2021-08-06 19:24:03+00:00	negativo	night
PedroM1r4nda	[14/11 18:14] pedro miranda: cs vão fazer alguma coisa hoje ? [14/11 18:14] l: to indo no outback com a gata agr amigo mais um, agora tô sozinho mesmo	2020-11-14 21:17:14+00:00	negativo	night
charles_weasley	1 mas a minha caneca é literalmente o caneco de cerveja do outback	2020-11-10 16:26:03+00:00	negativo	afternoon
Teodoro77593268	#boicoteoutback outback shit house ps acabei de assinar a gazeta do povo! parabéns, seu pagamento foi aprovado! seu acesso digital já está liberado aproveite todo o conteúdo exclusivo	2020-11-09 02:58:13+00:00	negativo	overnight
Teodoro77593268	#boicoteoutback outback shit house bom mesmo é o madero! ps acabei de assinar a gazeta do povo! parabéns, seu pagamento foi aprovado! seu acesso digital já está liberado aproveite todo o conteúdo exclusivo	2020-11-09 02:51:55+00:00	negativo	overnight
adrianinha	o avisou q o tinha propagandas na gazeta do povo (o jornal q readmitiu o bostantino depois daquele festival de ), aí, no q o restaurante confirmou que cortou os anúncios lá, o trouxa tá querendo q os minions seguidores dele boicotem o outback!	2020-11-07 20:18:22+00:00	negativo	night
camishrt	só pode ser piada! eu nem gosto tanto assim do outback mas já tô aqui fazendo meu pedido pro almoço pq coitados, periga irem à falência depois de serem ameaçados de boicote por esse	2020-11-07 15:12:01+00:00	negativo	afternoon
_mari_be	hoje o povo do trabalho me arrastou pra almoçar no outback e nossa que tristeza viu $70 pra comer um peixe com legumes que eu faria melhor em casa e tomar um refil péssimo de coca zero	2019-10-23 18:31:18+00:00	negativo	night
dayresende	disposição de q eu tava pq me acabei outback na quarta	2019-10-11 10:47:15+00:00	negativo	morning
zzigor150	tô fudido amanhã rapaziada vão comer em qualquer lugar menos no outback	2019-06-12 00:10:49+00:00	negativo	overnight
_vinidossantos	era p ter ido o outback tb, mas você vacilou	2019-01-19 00:22:48+00:00	negativo	overnight
KaCelinaOkada	não tem no mundo que ganha do no quesito emagrecer ( se é que me entendem )	2018-11-01 22:43:37+00:00	negativo	night
maarshh	sofrendo as consequências de ter comido o pãozinho do outback mas valeu a pena	2018-03-01 07:43:12+00:00	negativo	morning
DebissAraujo	a costelinha cm barbecue que a minha mãe fez, tá melhor do que a do outback	2017-09-21 15:57:42+00:00	negativo	afternoon
Danilo_Colado	hj eu fui no outback pra matar minha fome , mais não rolo só gastei a porra da minha grana merda	2016-09-20 03:59:17+00:00	negativo	overnight
camilasbona	e achei que não vale o preço (pratos principais tipo o dobro do outback)	2016-07-08 17:59:25+00:00	negativo	afternoon
Carolhferr	pastel/brigadeiro/churrasquinho ontem outback+brownie/cuzcuz/churrasquinho hj, e ainda n fiz	2016-06-27 00:38:06+00:00	negativo	overnight
EmyDuartt	qdo vejo um certo casal jantando no outback!!!que casal mais sem graça, sem criatividade sem humor!!	2016-06-21 02:18:49+00:00	negativo	overnight
eu_mv	amizade sustentada por brigas! # outback brasil	2016-04-08 00:03:39+00:00	negativo	overnight
carolhuberr	ir trabalhar amanhã é o c ! outback steakhouse iguatemi brasília	2015-10-11 19:28:44+00:00	negativo	night
juliagoiaba	passa a semana toda fazendo dieta para ir no outback e comer frango frito c batata	2015-04-11 06:35:23+00:00	negativo	morning
Nandaazevedoo	jantarzinho no outback pra comemorar o aniver do titio e salvar esse dia q tá uma grande	2015-02-26 21:58:42+00:00	negativo	night
gi_folco	vou fazer isso, mas só começo do ano q vem e ó, quero te ver, viu? uma baladinha, um outback, um dia no shop, qualquer coisa	2014-12-23 04:35:41+00:00	negativo	overnight
gabrielabalazs	"""balazs o outback ja esta fazendo efeito "" de qm é a frase?"	2014-11-30 03:59:13+00:00	negativo	overnight
Lmariqui	vou começar a me arrumar pra ir no outback com o math	2014-10-11 23:08:22+00:00	negativo	night
LoboEmerson	comer no outback sempre me da vontade de ir ao banheiro	2014-10-10 02:40:06+00:00	negativo	overnight
heeyyjubs	não gostaram da foto? já sabe! huahauahauaha outback steakhouse	2014-08-17 02:46:14+00:00	negativo	overnight
juuliamoura	brigam por qualquer razão, mas acabam pedindo perdão outback steakhouse	2014-08-16 21:01:37+00:00	negativo	night
handrauhl	caralho que raiva eu dormi a tarde e so acordei agora ou seja nao vou mais pro outback	2014-07-15 21:50:05+00:00	negativo	night
acmaachado	parabéns minha baranga,te desejo toda a felicidade do mundo luribeiro04 outback	2014-04-15 22:05:23+00:00	negativo	night
gabibastosl	mais velho com jeitinho de mais novo outback steakhouse	2014-04-06 01:24:30+00:00	negativo	overnight
ma__rodrigues	segunda-feira mais ou menos com uma mina bem menos outback steakhouse	2014-03-04 01:55:41+00:00	negativo	overnight
stephanniers	aí você entra no instagram e vê o amiguinho postando foto da cebola do outback	2014-02-20 17:57:41+00:00	negativo	afternoon
larivrr	semana inteira de dieta pra no domingo comer outback e brownie	2013-09-08 21:17:25+00:00	negativo	night
juliannabarros_	to aqui no outback com a nathy e com o matheus, segurando vela das zamigas só pra variar	2013-08-27 13:02:33+00:00	negativo	afternoon
kaueemacedo	abri a porta do banheiro no outback pra tirar uma água do joelho, ai adivinha quem eu encontro fazendo um ?? minotauro kkkkkkkkkkk	2013-07-25 22:16:27+00:00	negativo	night
CinthiaSANTTOS	bebê e bebê outback steakhouse	2013-06-16 23:42:05+00:00	negativo	night
Carol_Pinheeiro	a vida tá um mas pelo menos amanhã tem outback	2013-04-03 03:32:59+00:00	negativo	overnight
IsaVieira_d	kd amigos ricos pagando outback pra mim	2013-03-18 16:42:49+00:00	negativo	afternoon
eric_joris	é osso a fila do outback mesmo sélokoo	2013-01-05 23:51:55+00:00	negativo	night
jacque_gianini	as fedidas tão vindo para cá e vamos no analia jantar no outbackvou matar a saudade dessas cocozentas	2012-12-21 20:22:44+00:00	negativo	night
mblancco	partiu #pretty #swag #smile #like #instacool #instagood #outback #flw	2012-12-19 21:56:02+00:00	negativo	night
hduda_	hoje eu vou no outback com a sis e a sis	2012-12-17 03:45:42+00:00	negativo	overnight
LorenaOliveeira	coisa linda da minha vida! outback steakhouse	2012-12-10 03:06:28+00:00	negativo	overnight
biel_pablo	#partiu nicer da livínha no outback	2012-11-17 20:24:32+00:00	negativo	night
henriquevks	estou mas estou com deboravidal #irmã #sister #popbooth #photos #família #family #instacool #he outback	2012-11-15 02:46:51+00:00	negativo	overnight
ca_baccaro	paaartiu! #friend #love #outback #forever #happy	2012-10-04 23:08:53+00:00	negativo	night
anaagatti_	rt: outback com as meninaas #gabi gatas, divas, sensuais hahahahahahahaha	2012-09-16 02:21:46+00:00	negativo	overnight
UrsulaHasparyk	agente ia no outback mais tava mt cheio	2012-09-09 02:39:19+00:00	negativo	overnight
1vanessaz	acabei de publicar uma foto outback niver da fe	2012-08-26 01:31:17+00:00	negativo	overnight
garr0ne	o é lusitano pra ganhar brinde, pede o preenchimento de 1 pesquisa no site mas p/ ganhar precisa de um papel q prove	2012-03-04 02:52:59+00:00	negativo	overnight
AlanFelipePark_	ontem mofei esperando no outback hoje é meu almoço que não veio ainda	2022-06-13 14:27:20+00:00	negativo	afternoon
