tweet_text,sentiment
capaz q bom q pude ajudar algo d,1
servir moderar debate,1
quantidade cpf cancelar 2019 imensar chego salivar p,1
otimo tbm vo samus fazer 4x samus,1
nada fazer,1
poder ser reclamar se ser nunca problema p,1
ar contar dias ir embora último dia adorar dizer de este estágio percebi odeio todo merda esperar nunca vida trabalhar,1
cf outside nebraska danny oi esperar goste abra capar antes salvála qualquer problema avisar xx,1
sigar maratona prison break manhã,1
oi ufpi oficialmente voltar,1
intençao oxi,1
geralmente xícara boca fazer diferente prefiro continuar errar,1
uuuuuuu d revelar,1
instmando gente marcar ensaio la luano elian pôr q aparecer la,1
coisa lindo maravilhoso guei ver hoje d,1
obrigar existir,1
olá bom dia óptima quintafeira 13 setembro aproveitir 256de365 quintafeira 13desetembro,1
coisa vido dar decepção d,1
nada aconselho ver um vídeo sobre youtube muito tutorial ensinar,1
vcs algum grupinho planejar fugir de aqui simplesmente pânico ganhar preciso pessoa mesmo opinião,1
olá bom dia esperar vc abraço,1
quartafeira quase 100 bom,1
aaah legal hsausah achar lugar um instante kkkkk famílio todo japonês apenas 50 outro mistura tudo dhmasjsjsj,1
coisa aprender politica discutir apenas exponha posição opinião dê vozr outro acaso algum acéfalo começar discutir apenas saia desfilar saúde mental agradecer,1
saber falar eu engraçar por tweet acerca eu enquanto dm abrir todo quiserem falar comigo,1
menos linda sâmia bomfim bem,1
bom dia melhoria folga d hj,1
obrigar anitta queríamos deixar claro contra ódio independente alvo pro voltar agora povo poder parar fazer desentender d,1
saber pedir fazer the 70s show amigo veronese pedir kkkk ir assistir vdd terminar aí fazer,1
genial real descobrir dar toque d,1
linda inferno obg,1
Julgues Mafalda,1
claramente lado escolher p,1
nao fico brar,1
bom gostar d,1
puta parir vez perguntar q q fiz pra merecer um amigo maravilhoso de esse pessoa linr dentro amo aff,1
dps noticio avo dar,1
dar play vídeo 140 vídeo odeio anime p,1
resumidamente querer ir escola,1
povo chegar nivel ridiculo coisa zuar army ta quase parecer situação brasil de aqui pouco ir pegar fogo museu diferente Brasil armys ir deixar barato,1
qualquer ganhar lck agr ir tá feliz,1
mander dm falar cmg,1
achar ser próximo novamente dever ter algum motivo pra termo distanciar,1
saber parado insta directs rua alma vivo p,1
ir ver major,1
hoje dia tão tranquilo conseguir socializar rede social pouco,1
estraguei all star praxe,1
po giuv com si ouvir gritar manda msg q saiar vc,1
horário msm Fixe,1
chandler mão furar,1
quanto idioma falar 3 português inglês espanhol falo bocar alemão,1
faltar 300k 4 m got7 Lullaby presentyou 갓세븐,1
nunca falar horário quebrar pra pessoa levantar tampa vaso pé d,1
gente casar ir ser raça cachorro samoiedo spitz primeiro q saber noivo,1
amar pecar,1
acreditar ir ter refazer fonte pra amanhã 730 ser to morrer sono,1
o´connor mencionei divindade pra validar existência j f powers rsrs sim livreiro,1
portal dar informação seguidor,1
vc linda corpo lir to apaixonar vc hehe obrigado chamaaaar,1
pessoa antiquar ponto morar algum rapariga após casamento antes de isso cada casa,1
ir viver gondomar,1
ver mudar cidade nois presente guarulhos iracar eh opção caso Vo cidar poder odorífera vc pagar aluguel,1
mal educado ta precisar estudar principalmente sobre feminismo,1
normal todo ser humano inúmero outro qualidade mãe apenas,1
so contrarío porque querer boleia,1
dólar baixo bolsa subir hein,1
hahaha parte chorar n chegar ainda bora tentar reviver sonho algum forma,1
precisar ter pra fazer d,1
deixar q chamar então,1
tão bom coisa dar certo trabalho fazer sinto tanto satisfação atesto trabalho sair exatamente ser tanto jornalista professora adoro sensação dever cumprir medida possível,1
ooolhaa chance vir praticar d,1
rapaz ser pagar defender bozo twitter fazer péssimo trabalho saber vale grana gastar efeito ser contrário pretender,1
querer quebrar ideiar fcs grande famoso fcs pequeno existir eu oq existir fc amor vcs transmitir favs vc tratar pessoa,1
experta en chegar tarde,1
inktober chegar pra fazer digital vir pessoa dizer q digital poder,1
aí torcer pra tal time vota pra saber seguidor bom,1
outro coisa importante pensar bem bastante pra confundir coisa,1
nunca bateríamo poderer fossemos mau mau mau igual,1
lancho pra cada escolham bem,1
gta ai ate voltar assistir rss abs melhoro,1
dever ter fazer algum figura jeitoso,1
calvice carequice vir gene feminino logo nada ver pai olhar pro avo tio parte mãe abraço,1
gastar 130 real resinar pra gostar,1
ver email confirmação provavelmente receber fazer booking,1
bom dia meusmacaquinhos 2good2betrue motheroftwo,1
agora sim cabelo cortado barba fazer detalhe fiquei zoião em esse foto,1
video novo tocar ver d,1
ir falar fita p vcs dêer valor pessoo fechar contigo aceitar respeito bo dia dia pq encontrar alguém tá lado p tudo difícil então pessoa chegar deixar partir bobeira,1
apaixonar saber fazer crush bonito vontade morder outro ficar matar estar bom noite bem,1
merr p fazer d manha acordei agr,1
sempre tentar fazer mesmo coisa nunca ver sentido fazer algo tipo thread ser tipo coisa ajudar ajudar outro base choque igual comigo então bom ainda sucesso tratamento melhoro,1
claro dever míder ser imparcial bem jornalista ver militar real chance ganhar primeiro turno valer tudo agora pra manter tudo afinal Brasil ótimo,1
the death angel mangá nunca lançadob p,1
sentindar orgulhar eu mesmo conseguir voltar treinar,1
empresa acima tudo busca satisfação cliente sucesso cliente,1
achar ir seguir método pra ligar problema,1
possível quase chorandinho totalmente possível d,1
professor colegio Bailarino casado largar mulher assumir gay agora professor biologia,1
reconstrói templo Salomão reconstrói paláciar imperial hehehe p,1
to mto topinho ciro p,1
todo dia todo hora,1
monstaxr instagr storyr 1027 kiisfm foto grupal,1
gêmeo pessoal fazer questão dar pra eu pro irmão ate adolescente chamar gente,1
dar mundo querer,1
John concordo 100 colocação junto 17,1
mimos enviar rolo conexão durante atendimento gente achar legal surpreender cliente porém quiser um adesivo chegar dm,1
esperar melhore logo saber quanto horrível ficar assim ficar bem,1
kk obrigar usar obrigar apoio d,1
santo monico assim,1
pegar bus descobrir dinheiro acabar ainda bem q nao aula importante anatomia,1
fazer ficar mal conheci pessoaque hojeque quase quatro anosme fazer lembrar todo dia pessoa maravilhosa gabandoma gente bom descobri em aquele rapazque amor vida,1
motivo crackeio,1
putar dia estressante graças god acabouuuuuuu,1
ir tentar d hoje super desafio,1
1040,1
pra terror feministas capitão bolsonaro novo presidente danilo Gentilli d,1
anjo querer conversar poder chamar ok,1
bom noite ai rapaziar to briga querer pedir pra botar em esse social agradeço,1
c pedir comida domicilio modoautista p,1
thankyouhfk ainda entendi pq mentir sobre amar pessoa p vocal maravilhoso querer quavo show vevo tá foda demais,1
rebelde enviar d d especial junto,1
bom conto observador Freljord lembrar demais olho inverno escrevi ano antes toda lore ser trabalhar publicamente dar gostinho felicidade ver quanto acertei cada coisa,1
dever estar estudar to aqui viajar tt voltar reclamar nota,1
saber hora hora conferir dica snapchat gt queroviajarmal conhecer então compartilhe,1
fila andar Bebé vida mudar esper igual,1
sempre aula laboratorio preencho protocolo inteirinho pra dupla olhar fazer cálculo todinho invés copiar valor sempre resultar vcs achar q burrar q conf dizer rs,1
tô em esse mundo pra dar soco estômago macho,1
ah show domingo vestibular amiga vir avisar hoje ir fazer festa aniversário sábado,1
eh pá todo á frente puto algum vez pedir á mãe d aliás algum vez filho ir pedir,1
relaxa amorer obrigar agir maturidade ir dar streaming independente opinião então tá tudo bem,1
consigo escrever estar sempre aparecer merda ecrã,1
olhar jeitinho elsa deu,1
vc ate jojo banca kkkk conste bar didir após aula,1
ahahha foste vendeste,1
vontade cortar pulso de este dia,1
sempre tentar montar look legal sempre acabo camiseta banda,1
menino vício eterno pior lançar pouco anime vez ficar shounenai,1
querer kkk vc merecer,1
tar 55 kg sexta agora to 539 kg to tao feliz,1
perguntar realmente irar votar cara violento descontrolar machista homofóbico racistar neguei claro jamais votario ciro gomes,1
sexualidade definir caráter,1
pai descobrir qnd sair Pré fdp hj dia dizme olá ruo q ignorar,1
principalmente parte carinho,1
culpa confessar p,1
gente começar deixar fã esporte mandar grade jogo 14h agora escolher fã esporte votação semano 3 abrir quartafeira,1
rendi tédio bom dia flop,1
olhar lir nenê bonsaizinho ipê filho cuir carinho,1
bom coisa vc fazmuita gente ficar preconceito legal fácil ir tentar lá,1
passagem aéreo cambis site fazer procurar todo site milha companhio aéreo mostrar melhormenor preço q tá pra determinar dia mês bem pratico q procurar site site d cê poder tanto procurar pra data específico quanto ver mês inteiro,1
concordo tanto ainda vc inspir estudante desanime,1
thank nicole ter levar pé contigo,1
fofo porém triste história bom encontrar novo lar,1
enak lho digar,1
danilo reforço fcp 2018 permanência marega bom treinador bom direcção claramente grande favorito époco ir,1
eucomo vida odeia ir ser bom aula anopossível ate grp utt ir la faltar aula,1
memór gt saudade de esse aluno tai ch fico feliz aí mundo distribuir sorriso qualquer hora gente encontrar,1
passar dia arrastar agora noite to tão bem,1
opa 9 matina to ir p Algarve ainda n fiz malo,1
con sacer casme seguindome em este conta xa son feliz,1
siiiim engano minireview logo primeiro,1
aaaaar achar w ir ficar estranho p,1
obrigado linda bom dia,1
alura live semano vir recebo pra gente conversar sobre mercado trabalho game ir ser bem legal salva link aí,1
veñ la casa,1
algo ainda fazer gostar fazer dia k k k mt coisaaar,1
vó dar 20 real pra comprar querer amo vó,1
fartar tar casa amanhã dar um galha Mota,1
gostar todo sério apocrypha ainda n terminei assistir onde assisti bom bem abaixo bladeworks sim zero melhor todo p,1
final agosto ja so pensar Carnaval,1
dar abracinho fazer selfies,1
pena querer ver conseguir chegar pessoal refratário,1
lata,1
ex souber ir candidatar encomenda crime kkk 17 pika d,1
aparentemente claro q kkkk ver braço esticar q querer colocar referência fachar ué aí acabar pegar ângulo meio baixo pra ficar abrir possível apesar ser declaração oficial precisar ser necessariamente foto formal p,1
lançar contemplar tempo obscuro varandar cuecar enquanto tomar sucão laranja,1
bb lembrar passo cada vez vc n conseguir hr q rolar vc pensar passo seguinte,1
de ói cabeça outro vez,1
odeio escola tomar exploda d,1
nada amor,1
futebol flaxgre maracanã,1
madrugado músico maravilhoso deixar feliz,1
falador elite diaryr complete,1
sim parar insistir haddad,1
tá arraso combinar dmser ctg,1
falar vejo ver tl fico caçar coisa tt ver postar mudaria nada tt,1
temporada terminar amanhã contar de isso busca partir poder ser fechar manutenção longo dia obrigar compreensão,1
ai linr saca gameplay claire redfield enfrentar willian birkin,1
primeiro vez 100 montadito adorei juro ainda conseguir comer batata todo crocante,1
juro vida dar filme dramar terror coméd,1
presa lanchonete graças isabela,1
bem peno katia abrer vice bem estar animal gato cachorro suficiente,1
pegar pânico,1
Antônio Carlos elogiar cabelo,1
oia lá gatimr p,1
gente ir falar sobre aula quinto d,1
nunca sair resultado segundo fase,1
kkkkkkkkkk força ícone bom sorte conseguir,1
entrar vida 2012 aproximar 2014 desde grupo Guris amo demais fazer falta manhãs concordar certo opinião esperar dia mude pouco saudade,1
continuar bater recorde constantemente agr 5 ano q bebo café todo dias faltar,1
acabar motivar entrar logo academia obrigar,1
esperar gostar ricardo,1
saber grande prob meter ontem convém,1
lc somnii bater ahahahah fixe estar contigo ver imenso tempo,1
né k,1
claro saber dizer xd,1
ponto baixo dia lagartixa subirme perna após sacudir porca largar,1
ah saber ero amigo João bom obrigada ter partilhar,1
ja falar q vo dar croma presente skin zed aniversário ir mds aa anjo qnd aniversário,1
marmotinha saber lembrar eu fiz what the box rocket fist outro jogo tô jogo novo kickstarter mês achar ir curtir d super fofinho garden paws,1
momento escuto nightwish d,1
ficar fingir tudo bem merdo bom ver ninguém ver nada errar eu achar funcionar,1
querer foda,1
podia ta passear cmg manauaro p,1
prova Resumo oito página pra amanhã ainda começar d,1
bom dia prefiro samsung,1
agora ir fazer tarefa mto difícil requer esforço tempo achar fanfic bom ler,1
importar levar tiro pow Boa ate facar,1
hora valer corretor,1
ver poder ja ter acabar foto ainda,1
gostar alguém escola gor todo geral grupo top,1
obrigado todo acompanhar live hoje ameir cada momento,1
gargantar tá fechar,1
hj dia boom,1
ai olhar gente chatar inferno,1
mulher autoestimar abalar homem papo reto Kkk po pq serar ne so fazer merda bro p,1
tantir dflw tanto onore,1
ir ver vini todo dia,1
achar fico fofinho óculos thank you querer parecer fofinho,1
turma má,1
lembrar né amor junto outro,1
ver ahah btw amanhã ir lá,1
2050 presidente haddadmanur,1
gente ir show EUA dia 2909 ir tentar fazer máximo possível live,1
achar ta peladinha,1
coisa bom fazer pesquisa hoje conhecer paul amar gente bom acabar lançar livro Brasil ler viagem volta parecer bibliografia novo curso semestre vir,1
querer dizer professor asseder aluna querer ofender professor bom existir lá,1
sofi fã perco nenhum vídeo show bom noite,1
eu incomoda desliguir,1
finalmente reconhecimento vc tb importante,1
cara poder ter ser intenção dar impressão estar tirar mérito sim brasileira eleita bom mundo categor seis vez gringo unanimidade dentro respectivo categoria alto simples,1
parecer maioria democrático votar principalmente direito votar ter representar proporção vontade democracia lindo homem fascista tanto dizer povo errar dever votar assim,1
ah ta ouço agora to ouvir loono,1
mês bosta pouco carro chegar prox semana,1
ai guys 3 live ta on ir jogar um ranked lá pro 21h final final Fantasy 3,1
bê Serokocalan Jîyan nabe twitamina222 ji bo serok ocalan ê,1
filosofia moderno d fazer sentido,1
navo Marcelo uefasupercup,1
lembrete hoje seguir dica passeio Paulo criança instagr clique foto confirar y saopauloparacrianca brincar saopaulo fimdesemano diversaor kids vidademae,1
vez catarina passo frente next,1
puder ajudar algo chamar dm,1
ir voltar fazer corte cabelo drástico,1
cê tá lgd gt,1
anônimo dizer hello pls could u some lockscreem natalia dyer ty ♡,1
almoço marcar hj ainda deitar nada atrassar,1
banho folha orixá oxalá inalar vapor folha eucalipto ferver chazinho ervo cidreira bom noite sono,1
acabar partir película,1
trabalho herege,1
ir recomendar loono nao saber vc gostar p acreditar nunca ouvir música kjkkkk,1
oii ino saber saudade au cruzeiro assim querer dizer,1
tão bom ir pôr despertador aplicação calculador,1
conte sim mandar dm,1
desafiei nofeilar venci ir jogar brainwar,1
falar pra q amor rs,1
porém fizer merda n calourada em é,1
kkkkkkkk bem triste pq q acontecer comigo,1
coleção Renato bartolamei tá cada vez grande,1
oi vinícius obrigado confiança produzir tudo pensar ajudar bom maneira possível poder ficar tranquilo novembro ir ter muuuuuuuito coisa bom vir aí,1
