tweet_text,sentiment
capaz q bom q pud ajud alg d,1
serv moder debat,1
quant cpf cancel 2019 imens cheg saliv p,1
otim tbm vo samu faz 4x samu,1
nad faz,1
pod ser reclam si send nunc problem p,1
and cont dia ir emb últ dia ador diz dest estági perceb odei tod merd esper nunc vid trabalh,1
cf outsid nebrask danny oi esper gost abr cap ant salvál qualqu problem avis xx,1
sig maraton prison break manhã,1
oi ufp ofic volt,1
intença oxi,1
geral xíc boc faz difer prefir continu err,1
uuuuuuu d revel,1
instmand gent marc ensai la luan elian põe q aparec la,1
cois lind maravilh gue vi hoj d,1
obrig exist,1
olá bom dia ópt quintaf 13 setembr aproveit 256de365 quintaf 13desetembr,1
cois vid dar decepç d,1
nad aconselh ver um víde sobr youtub muit tutor ensin,1
vc algum grup planej fug daqu simples pânic ganh precis pesso mesm opin,1
olá bom dia esper vc abraç,1
quartaf quas 100 boa,1
aaah legal hsausah ach lug um instant kkkkk famíl tod japon apen 50 outr mist tud dhmasjsjsj,1
cois aprend poli discut apen exponh pos opin dê voz outr acas algum acéfal começ discut apen sai desfil saúd ment agradec,1
sei fal mim engraç por tweet acerc mim enquant dm abert tod quis fal comig,1
menos lind sâm bomfim bem,1
bom dia melh folg d hj,1
obrig anitt qu deix clar contr ódi independ alv pro volt agor pov pod par faz desentend d,1
sei ped faz the 70 show amig verones ped kkkk vou assist vdd termin aí faç,1
gen real descobr dá toqu d,1
lind infern obg,1
julg mafald,1
cl lad escolh p,1
nao fic br,1
bom gost d,1
put par vez pergunt q q fiz pra merec um amig maravilh dess pesso lind dentr amo aff,1
dp notic avo deu,1
dar play víde 140 víde odei anim p,1
resumid quer ir escol,1
pov cheg nivel ridicul cois zu army ta quas parec situ brasil daqu pouc vai peg fog mus difer brasil army vam deix barat,1
qualqu ganh lck agr vou tá feliz,1
mand dm fal cmg,1
ach serm próx nov dev ter algum motiv pra term distanci,1
sei par inst direct rua alm viv p,1
vou ver maj,1
hoj dia tão tranquil consegu social red soc pouc,1
estrag all st prax,1
po giuv consig ouv grit mand msg q sai vc,1
hor msm fix,1
chandl mão fur,1
quant idiom fal 3 portugu ingl espanhol fal boc alem,1
falt 300k 4m got7 lullaby presenty 갓세븐,1
nunc fal hor quebr pra pesso levant tamp vas pé d,1
gent cas vai ser raç cachorr samoied spitz prim q sab noiv,1
am pec,1
acredit vou ter refaz font pra amanhã 730 send to morr son,1
o´conn mencion divindad pra valid exist j f pow rsr sim livr,1
port dar inform segu,1
vc lind corp lind to apaixon vc heh obrig chamaaa,1
pesso antiqu pont mor algum raparig após cas ant diss cad cas,1
vou viv gondom,1
vê mud cidad noil pres guarulh iraqu eh opç cas vo cid pod odoríf vc pag aluguel,1
mal educ ta precis estud princip sobr femin,1
norm tod ser human inúm outr qual mãe apen,1
so contrarí porqu quer bole,1
dól baix bols sob hein,1
hahah part chor n cheg aind bor tent reviv sonh algum form,1
precis ter pra faz d,1
deix q ch ent,1
tão bom cois dão cert trabalh faz sint tant satisf atest trabalh saind exat ser tant jornal profes ador sens dev cumpr med possível,1
ooolha chanc vem pratic d,1
rapaz send pag defend boz twitt faz péss trabalh sei val gran gast efeit send contr pretend,1
quer quebr ide fc grand fam fc pequen exist mim oq exist fc am vc transmit fav vc trat pesso,1
expert en cheg tard,1
inktob cheg pra faz digit vir pesso diz q digit pod,1
aí torc pra tal tim vot pra sab segu bom,1
outr cois import pens bem bast pra confund cois,1
nunc bat pod foss mau mau mau igual,1
lanch pra cad escolh bem,1
gta ai ate volt assist rs ab melhor,1
dev ter feit algum figur jeit,1
calv carec vem gen feminin log nad ver pai olh pro avo tio part mãe abraç,1
gast 130 real resin pra gost,1
vê email confirm prova receb fez booking,1
bom dia meusmacac 2good2betru motheroftw,1
agor sim cabel cort barb feit detalh fiq zoi ness fot,1
vide nov toc ver d,1
vou fal fit p vc dê val pesso fech contig aceit respeit bo dia dia pq encontr alguém tá lad p tud difícil ent pesso cheg deix part bob,1
apaixon sei faz crush bonit vontad mord outr fic mort est boa noit bem,1
merd p faz d manh acord agr,1
sempr tent faz mesm cois nunc vi sent faz alg tip thread ser tip cois ajud ajud outr bas choqu igual comig ent melhor aind sucess trat melhor,1
clar dev míd ser imparc bem jornal vend milit real chanc ganh prim turn val tud agor pra mant tud afinal brasil ótim,1
the death angel mang nunc lançadob p,1
sent orgulh mim mesm consegu volt trein,1
empr acim tud busc satisf client sucess client,1
ach vou segu métod pra lig problem,1
possível quas chorand total possível d,1
profes colegi bailarin cas larg mulh assum gay agor profes biolog,1
reconstró templ salom reconstró paláci imper heheh p,1
to mto top cir p,1
tod dia tod hor,1
monstax instagr story 1027 kiisfm fot grup,1
gême pessoal faz quest dar pra mim pro irm ate adolesc cham gent,1
dou mund quis,1
john concord 100 coloc junt 17,1
mim envi rol conex dur atend gent ach legal surpreend client porém quis um ades cheg dm,1
esper melhor log sei quant horr fic assim fiqu bem,1
kk obrig us obrig apoi d,1
sant monic assim,1
peg bu descobr dinh acab aind bem q nao aul import anatom,1
faz fic mal conhec pessoaqu hojequ quas quatr anosm faz lembr tod dia pesso maravilh gabandom gent boa descobr naquel rapazqu am vid,1
motiv crackei,1
put dia estress graç god acabouuuuuuu,1
vam tent d hoj sup desafi,1
1040,1
pra terr femin capitã bolsonar nov presid danil gentill d,1
anj quis convers pod cham ok,1
boa noit ai rapazi to brig quer ped pra bot ness soc agradeç,1
c ped com domicili modoaut p,1
thankyouhfk aind entend pq ment sobr ama pesso p vocal maravilh quer quav show vev tá fod demal,1
rebeld envi d d espec junt,1
