tweet_text,sentiment
capaz q bom q pud ajud com alg d,1
ess serv par moder o debat,1
a quant de cpf cancel em 2019 ser imens cheg até a saliv p,1
otim eu tbm vo de samu faz um 4x só de samu,1
não tenh nad par faz,1
só pod ser tu reclam de si mesm send que nunc tem problem p,1
and a cont os dia par me ir emb e no últ dia ador diz dest estági perceb que vo odei a tod que são uma merd e que esper nunc na vid trabalh com voc,1
cf outsid nebrask e danny oi esper que gost abr a cap ant de salvál qualqu problem é só me avis xx,1
sig maraton de prison break até de manhã,1
oi ufp est ofic de volt,1
ess e a intença oxi,1
geral em uma xíc e pel boc se faz difer prefir continu err,1
com ela uuuuuuu d se revel,1
tem instmand gent marc ensai por la luan elian põe iss q aparec la,1
a cois mais lind e maravilh e gue que eu vi hoj d,1
obrig por não exist,1
olá bom dia uma ópt quintaf 13 de setembr aproveit 256de365 quintaf 13desetembr,1
uma cois que a vid não par de me dar decepç d,1
por nad aconselh a ver um víde sobr no youtub tem muit tutor ensin,1
vc tem algum grup que est planej fug daqu ou simples est em pânic se ele ganh precis de pesso com a mesm opin que eu,1
olá bom dia est esper por vc um abraç,1
foi uma quartaf quas 100 boa,1
aaah que legal hsausah eu ach mesm que era um lug por um instant kkkkk mas sua famíl tod é japon apen 50 a outr é uma mist de tud dhmasjsjsj,1
se tem uma cois que eu aprend é que poli não se discut apen exponh sua pos e opin e também dê voz ao outr e se por acas algum acéfal começ a discut apen sai desfil tua saúd ment agradec,1
não sei qu te fal de mim mas é engraç por tweet acerc de mim enquant a minh dm est abert a tod os que quis fal comig,1
pel menos minh lind sâm bomfim foi bem,1
bom dia melh ess folg d hj,1
obrig anitt só qu que deix clar que é contr o ódi independ do alv pro qual ele sej volt agor o pov pod par de se faz de desentend d,1
não sei se já ped mas faz do the 70 show me amig verones ped kkkk vou assist na vdd termin aí faç,1
iss é gen na real se descobr me dá um toqu d,1
lind do infern noss obg,1
não me julg mafald,1
cl os lad já for escolh p,1
mas eu nao fic br,1
que bom que gost d,1
put que par as vez me pergunt q q eu fiz pra merec um amig maravilh dess só pesso lind por dentr e por for amo muit aff,1
e dp ess notic que a minh avo me deu,1
fui dar play no víde 140 de víde e já odei ess anim p,1
resumid não quer ir a escol,1
o pov cheg num nivel ridicul com ess cois de zu army ta quas parec a situ do brasil daqu a pouc vai peg fog no mus mas difer do brasil nó army não vam deix barat,1
qualqu um que ganh a lck agr vou tá feliz,1
mand dm e fal cmg,1
o que ach de serm próx nov qu é dev ter algum motiv pra term no distanci,1
não sei o que est mais par meu inst direct ou minh rua não tem uma alm viv p,1
vou ver o maj,1
hoj o dia foi tão tranquil que até consegu social na red soc um pouc,1
estrag os meu all st na prax,1
po giuv não consig te ouv grit mas só me mand uma msg q eu sai com vc,1
o meu hor é msm fix,1
mas o chandl mão fur sou eu,1
quant idiom voc fal 3 portugu ingl e espanhol e fal um boc de alem,1
falt 300k par 4m got7 lullaby presenty 갓세븐,1
nunc fal hor quebr pra as pesso e só levant a tamp do vas com o pé d,1
qu a gent cas qual vai ser a raç do noss cachorr um samoied ou um spitz mas prim tenh q sab qu é o noiv,1
am não é pec,1
não acredit que vou ter que refaz uma font pra amanhã 730 send que to morr de son,1
não a o´conn não eu só mencion a divindad pra valid a exist do j f pow rsr ess sim foi livr,1
som um port tem que dar inform ao noss segu,1
vc é muit muit lind que corp lind to apaixon em vc heh muit obrig me chamaaa,1
sou uma pesso antiqu ao pont de só mor com algum raparig após cas ant diss cad um na sua cas,1
vou viv par gondom,1
vê se mud de cidad noil te da ess pres guarulh iraqu eh uma opç cas da vo cid pod lhe odoríf até vc pag um aluguel,1
mal educ ta precis estud mais princip sobr femin,1
norm de tod ser human entr inúm outr qual que a minh mãe tem apen iss,1
so não te contrarí porqu quer bole,1
dól baix e bols sob por que ser hein,1
hahah a part de chor n cheg aind mas bor tent reviv ess sonh de algum form,1
não precis ter pra faz d,1
deix q eu ch ent,1
é tão bom qu as cois dão cert no trabalh que voc faz sint tant satisf qu atest que o trabalh est saind exat com tem que ser tant com jornal com profes ador ess sens de dev cumpr na med do possível,1
ooolha a sua chanc vem pratic d,1
rapaz se est send pag par defend o boz no twitt est faz um péss trabalh não sei se val a gran que est gast o efeit est send o contr do pretend,1
eu quer quebr ess ide de fc grand e fam e fc pequen iss não exist par mim oq exist é o seu fc e o am que vc transmit ao seu fav e com vc trat as pesso,1
expert en cheg tard,1
mais um inktob cheg pra eu faz digit e vir pesso me diz q digit não pod,1
qu aí torc pra tal tim vot pra eu sab se tenh segu do bom,1
outr cois import pens bem mas bast mesm pra não confund as cois,1
nunc bat pod se foss mau mau mas mesm muit mau igual,1
é um lanch pra cad uma só escolh bem,1
gta ai ate eu volt assist rs ab e melhor,1
já dev ter feit algum figur jeit,1
a calv e a carec vem de gen feminin log não tem nad a ver com o seu pai olh pro teu avo e se tiv tio por part de mãe abraç,1
gast 130 real na resin pra eu não gost,1
vê no email de confirm prova voc receb um qu fez o booking,1
bom dia meusmacac 2good2betru motheroftw,1
agor sim cabel cort e barb feit detalh fiq com um zoi ness fot,1
vide nov toc a ver d,1
vou fal uma fit p vc dê val na pesso que fech contig que te aceit e te respeit e do bo do dia a dia pq encontr alguém que tá do lad p tud é muit difícil ent qu ess pesso cheg não deix ela part por bob,1
eu est apaixon e não sei o que faz o meu crush é bonit da vontad de mord se com outr ele fic mort ele est boa noit meu bem,1
tinh merd p faz d manh e só acord agr,1
sempr tent faz a mesm cois só nunc vi sent em faz alg tip ess thread por não ser o tip de cois que me ajud mas se ajud os outr e não é na bas do choqu igual foi comig ent melhor aind sucess no seu trat melhor,1
clar que tem e é dev da míd ser imparc bem com seu jornal só que est vend um milit com real chanc de ganh no prim turn e val tud agor pra mant tud com est afinal o brasil est ótim,1
the death angel meu mang que nunc foi lançadob p,1
sent orgulh de mim mesm por consegu volt a trein,1
uma empr que acim de tud busc a satisf de seu client mais um sucess de noss client,1
ach que vou segu o teu métod pra lig com problem,1
é possível que estej quas chorand é total possível d,1
tem um profes no meu colegi que era um bailarin cas larg a mulh se assum gay e agor é profes de biolog,1
qu reconstró o templ de salom reconstró o paláci imper heheh p,1
noss eu to mto top do cir p,1
ist sou eu tod os dia e tod as hor,1
monstax instagr story de 1027 kiisfm fot grup,1
com sou gême o pessoal faz quest de dar pra mim e pro meu irm ate qu adolesc cham a gent,1
te dou o mund se voc quis,1
john concord 100 com sua coloc est junt 17,1
os mim são envi qu rol uma conex dur um atend e a gent ach legal surpreend o client porém se voc quis um ades cheg na dm,1
esper que melhor log sei o quant é horr fic assim fiqu bem,1
kk voc não é obrig a us mas obrig pel apoi d,1
sant monic é assim,1
fui peg o bu e descobr que meu dinh acab aind bem q nao era aul import era só anatom,1
faz fic mal até que eu conhec uma pessoaqu hojequ depois de quas quatr anosm faz lembr tod os dia da pesso maravilh que eu sou não é me gabandom eu sou muit gent boa eu descobr naquel rapazqu ele é o am da minh vid,1
por ess motiv eu crackei,1
put dia estress graç a god acabouuuuuuu,1
vam tent d hoj sup o desafi,1
e só são 1040,1
pra terr da femin depois do capitã bolsonar o nov presid ser danil gentill d,1
anj se quis convers pod me cham ok,1
boa noit ai rapazi to for da brig só quer ped pra me bot ness soc agradeç,1
c ped com a domicili modoaut p,1
thankyouhfk e eu aind não entend pq tem que ment sobr que ama a pesso p mas os vocal são maravilh e quer que quav estiv for mas o show da vev tá fod demal,1
